Plant Abbr,Month,Day,Year,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,BCoV_Recovery,BCoV_Recovery_UCI,BCoV_Recovery_LCI,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_UCI,N_Gene_gc_g_dry_weight_LCI,S_Gene_gc_g_dry_weight,S_Gene_gc_g_dry_weight_UCI,S_Gene_gc_g_dry_weight_LCI,ORF1a_gc_g_dry_weight,ORF1a_gc_g_dry_weight_UCI,ORF1a_gc_g_dry_weight_LCI,HV_6970_Del_gc_g_dry_weight,HV_6970_Del_gc_g_dry_weight_UCI,HV_6970_Del_gc_g_dry_weight_LCI,Delta_156157_gc_g_dry_weight,Delta_156157_gc_g_dry_weight_UCI,Delta_156157_gc_g_dry_weight_LCI,Del_143145_gc_g_dry_weight,Del_143145_gc_g_dry_weight_UCI,Del_143145_gc_g_dry_weight_LCI,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_UCI,Influenza_A_gc_g_dry_weight_LCI,Influenza_B_gc_g_dry_weight,Influenza_B_gc_g_dry_weight_UCI,Influenza_B_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_UCI,RSV_gc_g_dry_weight_LCI,BA_2_LPPA24S_gc_g_dry_weight,BA_2_LPPA24S_gc_g_dry_weight_UCI,BA_2_LPPA24S_gc_g_dry_weight_LCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight,BA_2_75_S_147E_S_152R_gc_g_dry_weight_UCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight_LCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight,BA_4_ORF1a_Del_141143_gc_g_dry_weight_UCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight_LCI,HMPV_4_gc_g_dry_weight,HMPV_4_gc_g_dry_weight_UCI,HMPV_4_gc_g_dry_weight_LCI,MPXV_G2R_G_gc_g_dry_weight,MPXV_G2R_G_gc_g_dry_weight_UCI,MPXV_G2R_G_gc_g_dry_weight_LCI,MPXV_G2R_WA_gc_g_dry_weight,MPXV_G2R_WA_gc_g_dry_weight_UCI,MPXV_G2R_WA_gc_g_dry_weight_LCI,Noro_G2_gc_g_dry_weight,Noro_G2_gc_g_dry_weight_UCI,Noro_G2_gc_g_dry_weight_LCI
PA,11,27,2020,248435661.6,288071564.4,229209068.4,0.39,0.442,0.356,47873.20392,55000.32168,39713.34768,51477.70056,57466.64316,43241.3316,37575.51528,43242.91284,30412.78548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,27,2020,1114085972,1251209594,1067007544,0.43,0.444,0.412,121533.5184,153297.5616,88665.2766,242844.3348,257574.3804,227001.7656,221474.64,238058.754,202220.8308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,27,2020,173089990.8,231577766.4,148462257.6,0.298,0.368,0.233,77503.49184,90833.38872,65315.30508,81327.31416,97530.54528,66515.46828,89249.07624,108304.5073,72380.12436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,28,2020,423588618,444165668.4,409981941.6,0.52,0.547,0.493,45326.72484,50495.39832,40252.71336,65233.35588,71244.11688,59228.33556,46432.53684,52819.25436,37371.16212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,28,2020,693879703.2,740695212,671264872.8,0.312,0.326,0.299,46570.14216,60779.82912,34441.578,129699.3888,136005.9612,123393.5628,101770.8943,114282.345,90844.34616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,28,2020,253977813.6,341556320.4,226744893.6,0.255,0.308,0.203,149900.754,182428.122,119353.0361,149339.5176,181041.6576,119883.8453,149620.1352,182324.8668,118694.8021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,29,2020,734995659.6,819237322.8,682812601.2,0.554,0.579,0.525,66798.51816,73708.37412,53428.96044,96501.48096,104571.6751,88431.95712,81648.86844,91273.42368,72312.20964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,29,2020,555801547.2,594323810.4,528845230.8,0.24,0.257,0.225,102361.7165,108889.5486,92958.86796,114023.4455,125003.0292,101493.5986,88204.01604,98852.62512,76930.27044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,29,2020,149173153.2,218144994,131389851.6,0.26,0.34,0.205,486623.7756,616683.0264,381049.4532,513865.5336,661983.114,392050.4112,478427.9208,616605.1512,364199.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,30,2020,809305085.6,885313909.9,772833399.7,0.767,0.846,0.701,60082.18656,65499.79775,54664.93984,88918.12302,96275.69405,80742.73273,75720.72833,83706.01549,67378.12715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
