Plant Abbr,Month,Day,Year,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,BCoV_Recovery,BCoV_Recovery_UCI,BCoV_Recovery_LCI,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_UCI,N_Gene_gc_g_dry_weight_LCI,S_Gene_gc_g_dry_weight,S_Gene_gc_g_dry_weight_UCI,S_Gene_gc_g_dry_weight_LCI,ORF1a_gc_g_dry_weight,ORF1a_gc_g_dry_weight_UCI,ORF1a_gc_g_dry_weight_LCI,HV_6970_Del_gc_g_dry_weight,HV_6970_Del_gc_g_dry_weight_UCI,HV_6970_Del_gc_g_dry_weight_LCI,Delta_156157_gc_g_dry_weight,Delta_156157_gc_g_dry_weight_UCI,Delta_156157_gc_g_dry_weight_LCI,Del_143145_gc_g_dry_weight,Del_143145_gc_g_dry_weight_UCI,Del_143145_gc_g_dry_weight_LCI,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_UCI,Influenza_A_gc_g_dry_weight_LCI,Influenza_B_gc_g_dry_weight,Influenza_B_gc_g_dry_weight_UCI,Influenza_B_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_UCI,RSV_gc_g_dry_weight_LCI,BA_2_LPPA24S_gc_g_dry_weight,BA_2_LPPA24S_gc_g_dry_weight_UCI,BA_2_LPPA24S_gc_g_dry_weight_LCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight,BA_2_75_S_147E_S_152R_gc_g_dry_weight_UCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight_LCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight,BA_4_ORF1a_Del_141143_gc_g_dry_weight_UCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight_LCI,HMPV_4_gc_g_dry_weight,HMPV_4_gc_g_dry_weight_UCI,HMPV_4_gc_g_dry_weight_LCI,MPXV_G2R_G_gc_g_dry_weight,MPXV_G2R_G_gc_g_dry_weight_UCI,MPXV_G2R_G_gc_g_dry_weight_LCI,MPXV_G2R_WA_gc_g_dry_weight,MPXV_G2R_WA_gc_g_dry_weight_UCI,MPXV_G2R_WA_gc_g_dry_weight_LCI,Noro_G2_gc_g_dry_weight,Noro_G2_gc_g_dry_weight_UCI,Noro_G2_gc_g_dry_weight_LCI
UCD,1,12,2022,653904841.4,662018657,646434347.1,2.58,2.701,2.459,188089.7783,204695.0576,175550.9499,203982.9808,218916.1187,186148.8636,,,,,,,0,0,0,124532.6344,134735.0585,114330.846,0,0,0,,,,2150.469357,3681.621236,605.7207401,,,,,,,,,,,,,,,,,,,,,
PA,1,12,2022,1010917873,1031523940,991291539.6,1.333,1.415,1.251,508036.5573,527716.3187,486892.401,525782.2299,541431.5766,509943.5694,,,,,,,8250.527522,10415.68494,6352.734332,438954.4842,453249.9126,424183.0788,4367.834505,5996.604176,2874.534504,,,,7279.839002,9325.092329,5558.347585,,,,,,,,,,,,,,,,,,,,,
Mer,1,12,2022,1211100260,1299688785,1130769600,0.497,0.544,0.452,611153.3717,657028.2518,562030.5112,493320.7194,529396.4051,454717.6963,,,,,,,24022.81176,26911.98148,21281.41805,366335.7919,397520.768,334989.715,0,0,0,,,,36037.49192,40133.47626,31825.40358,,,,,,,,,,,,,,,,,,,,,
Sac,1,12,2022,940854700.9,968205128.2,908034188,0.987,1.045,0.922,968205.1282,1022905.983,913504.2735,1001025.641,1039316.239,968205.1282,,,,,,,46167.52137,50051.28205,42283.76068,831452.9915,864273.5043,804102.5641,984.6153846,1679.316239,467.6923077,,,,42229.05983,45948.71795,38509.40171,,,,,,,,,,,,,,,,,,,,,
SJ,1,12,2022,1335673741,1377435739,1292541795,1.343,1.425,1.261,641972.2695,662809.5538,621772.6752,717508.5886,746430.3062,688100.9057,,,,,,,10922.28435,12805.53568,9019.313824,582117.3533,602934.5195,560873.5767,1724.429606,2553.402136,831.2801695,,,,27597.24571,30662.76085,24449.7373,,,,,,,,,,,,,,,,,,,,,
Sun,1,12,2022,1823655914,1917050691,1735176651,1.292,1.363,1.221,643932.4117,673425.4992,614439.3241,727496.1598,766820.2765,688172.043,,,,,,,33523.80952,36522.27343,30525.34562,609523.8095,643932.4117,570199.6928,0,0,0,,,,21480.79877,24135.17665,18678.95545,,,,,,,,,,,,,,,,,,,,,
SVCW,1,12,2022,1085490196,1123137255,1054117647,0.844,0.902,0.792,449254.902,475607.8431,414117.6471,493803.9216,514509.8039,475607.8431,,,,,,,18760.78431,21960.78431,15749.01961,401568.6275,427921.5686,380235.2941,1317.647059,2108.235294,759.2156863,,,,28047.05882,31184.31373,25098.03922,,,,,,,,,,,,,,,,,,,,,
Gil,1,12,2022,856177777.8,877511111.1,837688888.9,1.292,1.409,1.175,927288.8889,958577.7778,894577.7778,615822.2222,638577.7778,594488.8889,,,,,,,43377.77778,49493.33333,37831.11111,483555.5556,504888.8889,459377.7778,0,0,0,,,,31573.33333,37262.22222,26880,,,,,,,,,,,,,,,,,,,,,
Dav,1,12,2022,2016117216,2133333333,1910622711,1.214,1.311,1.104,511062.2711,527472.5275,494652.0147,556190.4762,574358.9744,539780.2198,,,,,,,3170.695971,4284.249084,2268.131868,479413.9194,494065.9341,466520.1465,0,0,0,,,,10139.19414,12424.90842,7970.695971,,,,,,,,,,,,,,,,,,,,,
Mod,1,12,2022,2273636337,2348091660,2204404069,0.93,0.985,0.875,1185548.462,1269328.123,1028457.69,994536.2034,1065218.008,778214.1975,,,,,,,132554.9998,156915.3751,110858.6662,868895.1399,934958.8123,699767.7424,0,0,0,,,,124520.7392,148350.4484,101424.1646,,,,,,,,,,,,,,,,,,,,,
UCD,1,13,2022,533211751.3,542766967.8,524427653,1.96,2.055,1.864,6296.847661,9590.161641,3861.207962,13853.27339,18471.62247,9977.078438,,,,,,,0,0,0,10075.03192,14091.30414,6906.39178,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
PA,1,13,2022,2503020044,2595275213,2417592921,1.341,1.425,1.263,445185.0043,475545.494,413060.6911,707804.1768,745737.3414,668468.0669,,,,,,,8109.470332,10710.33574,5545.756311,583737.8916,612869.8484,552770.5029,11282.97575,13390.61044,9409.181039,,,,10930.35804,13006.95015,9087.601093,,,,,,,,,,,,,,,,,,,,,
Mer,1,13,2022,1317045521,1353751306,1277546603,0.579,0.65,0.506,496012.5422,521718.9178,470941.6621,451523.9479,468385.0822,436774.7908,,,,,,,16261.79941,19157.05765,13953.46934,341389.7153,362523.3968,324689.5598,0,0,0,,,,27424.01669,30474.79748,24584.18112,,,,,,,,,,,,,,,,,,,,,
Sac,1,13,2022,1074938106,1095964662,1055340334,1.811,1.9,1.722,927582.5336,959209.1039,890616.9742,1070014.137,1088796.446,1050144.954,,,,,,,98802.32739,105562.8109,91613.77536,861984.6728,879045.3989,842734.0541,0,0,0,,,,29483.78642,32347.57415,26477.70873,,,,,,,,,,,,,,,,,,,,,
SJ,1,13,2022,1265857297,1287784103,1245821836,1.283,1.359,1.207,724163.3856,755070.0736,694284.4255,958356.9684,990948.0102,928310.0968,,,,,,,20195.64581,22722.017,18068.17427,815864.0327,847228.8309,787097.3413,1459.670067,2145.728659,938.3199909,,,,23116.12934,25558.50685,20205.31242,,,,,,,,,,,,,,,,,,,,,
Sun,1,13,2022,2475348268,2533782003,2428281878,1.847,1.938,1.756,694564.4723,729263.653,662361.6047,600311.9327,619376.0231,583175.4345,,,,,,,8711.073773,10506.00054,6964.620976,478190.3901,500159.2062,457094.2869,0,0,0,,,,14187.37746,16142.56045,12384.14402,,,,,,,,,,,,,,,,,,,,,
SVCW,1,13,2022,1182382348,1198070761,1167272474,1.907,1.999,1.815,919162.7668,946520.5865,891809.4388,852228.4702,886384.9063,818951.3632,,,,,,,7133.585033,9793.699562,5005.366358,695611.8629,719403.0234,665761.7082,0,0,0,,,,22194.40204,26723.54586,16792.87741,,,,,,,,,,,,,,,,,,,,,
Gil,1,13,2022,1153704721,1170693518,1137728656,1.86,1.957,1.762,805067.3449,830540.4804,779598.0241,662156.4936,688756.307,637999.2167,,,,,,,25945.69656,32266.25037,19513.58053,527426.967,559519.5559,495497.1738,5188.829921,7627.633434,3335.535526,,,,64871.48338,74263.55504,56131.73379,,,,,,,,,,,,,,,,,,,,,
Dav,1,13,2022,1185955502,1217130534,1141715495,1.63,1.752,1.528,258042.3644,269717.3417,243920.0469,244553.9802,257322.8701,228964.6033,,,,,,,3764.993013,4822.759014,2874.670607,194949.6221,202924.9018,185639.9112,0,0,0,,,,7028.228105,8438.014622,5736.981378,,,,,,,,,,,,,,,,,,,,,
OSP,1,13,2022,632145856.3,648108512.2,614984744.8,1.393,1.518,1.262,305511.4445,321781.5271,288651.0243,462096.2952,474532.0879,449662.6092,,,,,,,8296.578121,10145.39805,6687.329837,398349.5588,410778.2488,384463.4588,0,0,0,,,,24170.87555,27232.1212,21348.24975,,,,,,,,,,,,,,,,,,,,,
Mod,1,13,2022,1594949583,1677513292,1534844293,0.99,1.062,0.918,697482.5029,755208.7873,636692.7283,740499.2692,799980.0121,681023.2952,,,,,,,17100.75944,27314.37484,7623.332952,554110.966,622838.4139,489277.499,0,0,0,,,,21376.01139,32555.9056,12511.01612,,,,,,,,,,,,,,,,,,,,,
UCD,1,14,2022,398751001.6,405071990.2,392432078.8,2.418,2.521,2.315,8670.117305,11903.20651,5692.20384,5780.0348,8496.710582,3650.1698,,,,,,,0,0,0,5780.0348,8496.710582,3700.553454,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
PA,1,14,2022,1041745405,1084430824,996372013.1,2.614,2.829,2.386,1947459.795,1998560.141,1893940.351,1879150.747,1958937.26,1806937.234,,,,,,,7976.675591,10184.79065,5736.587689,1574014.05,1636260.986,1515162.239,13460.97494,16381.85629,10709.20487,,,,4486.808651,6159.936475,3110.526946,,,,,,,,,,,,,,,,,,,,,
Mer,1,14,2022,1903146262,1925933097,1877676045,0.591,0.649,0.537,618356.4585,639123.641,600500.4412,546971.3156,562647.0606,532872.6061,,,,,,,15970.49838,19017.5944,12693.85351,431476.2182,449936.7657,413689.7034,0,0,0,,,,37056.94313,40497.67511,33616.37285,,,,,,,,,,,,,,,,,,,,,
Sac,1,14,2022,1025405660,1047997564,996690101.2,1.32,1.397,1.243,850381.7975,901409.3433,809372.5519,1168199.097,1211252.504,1126369.067,,,,,,,59864.78775,63770.07869,55959.78237,958396.7824,990747.398,929702.0692,0,0,0,,,,41516.07503,44767.96436,38264.38235,,,,,,,,,,,,,,,,,,,,,
SJ,1,14,2022,1955500125,1998403967,1911616191,2.556,2.722,2.399,718053.9785,746600.4151,688620.0199,812202.4231,841264.9619,783754.8929,,,,,,,18683.48715,21332.07244,16264.06137,697227.7539,721265.7394,673334.5124,0,0,0,,,,22489.94796,25383.67926,19825.05829,,,,,,,,,,,,,,,,,,,,,
Sun,1,14,2022,1879234365,1939005566,1819756780,1.333,1.413,1.253,568374.816,586228.2883,551839.5576,704171.1898,723833.1019,683357.958,,,,,,,9087.225039,11377.35992,6787.678793,610099.3568,625991.5172,594159.414,0,0,0,,,,16358.19444,18835.08548,13934.95613,,,,,,,,,,,,,,,,,,,,,
SVCW,1,14,2022,1905491205,1959192648,1853881685,1.508,1.63,1.389,1997573.853,2119148.914,1896225.917,1896698.563,1993029.371,1805662.367,,,,,,,165524.624,174807.16,156242.8416,1385998.667,1452625.604,1323863.842,0,0,0,,,,34334.7832,39252.23115,29319.51593,,,,,,,,,,,,,,,,,,,,,
Gil,1,14,2022,897188520.7,920328706.9,875142622.3,1.462,1.55,1.374,1093045.251,1153862.991,1038781.807,838358.7336,883811.3904,795519.2092,,,,,,,88295.18765,94985.47697,80781.21465,702406.7162,736235.9688,667246.9748,0,0,0,,,,87804.45487,94370.45939,81241.84474,,,,,,,,,,,,,,,,,,,,,
Dav,1,14,2022,868764155.9,894438333,844911398.4,1.324,1.427,1.223,302991.7672,318590.4589,286755.3438,433980.3059,450276.8486,414917.3039,,,,,,,3344.476756,4303.477276,2254.752668,355871.052,365744.5603,344841.5783,1560.726842,2232.300977,974.9747175,,,,9365.121982,10966.31192,7811.844728,,,,,,,,,,,,,,,,,,,,,
Mod,1,14,2022,1666247559,1687560110,1645389256,1.077,1.145,1.009,895790.9818,953376.8709,838209.6436,625454.44,676779.097,577344.2081,,,,,,,17883.47734,27236.71496,9984.95203,499579.2562,549183.9756,454856.3018,0,0,0,,,,57228.70881,74357.63873,41544.28388,,,,,,,,,,,,,,,,,,,,,
UCD,1,15,2022,342445693.8,353699634.7,329559213.1,1.351,1.423,1.271,52153.69919,58383.11749,46384.35517,49371.58102,55439.4722,43547.09755,,,,,,,0,0,0,42416.56963,48059.13972,37234.65955,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
PA,1,15,2022,1290666667,1365333333,1205333333,2.201,2.402,2,625131.2256,667081.1462,581230.7739,673890.4826,713112.3861,631023.3053,,,,,,,4981.333333,6848,3498.666667,512928.7211,548877.7669,472893.2699,8864,11626.66667,6378.666667,,,,5536,7562.666667,3733.333333,,,,,,,,,,,,,,,,,,,,,
Mer,1,15,2022,1335288932,1377162320,1297167969,0.577,0.634,0.522,697756.2499,717481.2267,678144.7167,630136.4774,654189.6147,607709.6976,,,,,,,18238.18138,20699.09744,15276.46632,481905.1207,501426.3477,464883.0937,0,0,0,,,,33758.50628,37517.46346,29876.00152,,,,,,,,,,,,,,,,,,,,,
Sac,1,15,2022,1080570475,1135579936,1032615458,2.19,2.406,1.95,1228519.185,1298257.828,1156067.022,1074040.731,1127916.845,1025537.046,,,,,,,41364.22475,46585.65919,35843.28493,878803.698,934754.4987,825283.0507,0,0,0,,,,51708.69033,56558.87921,45868.45637,,,,,,,,,,,,,,,,,,,,,
SJ,1,15,2022,1684210526,1715399610,1653021442,1.879,2,1.758,733036.8072,749707.3168,714809.9606,742560.5521,765553.2569,718822.219,,,,,,,26074.07407,30253.41131,22643.27485,519648.0853,558541.2217,480573.6579,0,0,0,,,,28756.33528,32000,25512.67057,,,,,,,,,,,,,,,,,,,,,
Sun,1,15,2022,2070741626,2184322289,1979161214,2.885,3.076,2.706,500648.9762,532006.7946,471507.7357,508415.5707,528565.8473,489526.7906,,,,,,,11583.19754,13800.63717,9283.466791,421173.8186,445579.8774,398650.7874,0,0,0,,,,16632.94339,19034.55834,14280.23692,,,,,,,,,,,,,,,,,,,,,
SVCW,1,15,2022,131421824,139694005.4,124077927.2,2.882,3.189,2.604,89414.55486,95898.53965,83173.07956,73192.26291,80018.9555,66714.64638,,,,,,,1871.038493,2423.687222,1412.347855,61829.98387,67759.79005,56287.06719,0,0,0,,,,4794.80901,5580.307355,4054.338555,,,,,,,,,,,,,,,,,,,,,
Gil,1,15,2022,831459164.4,871520996.1,789590346,3.376,3.612,3.135,435647.8697,471363.69,400925.0344,383280.2197,416246.5089,348418.3508,,,,,,,15040.93535,19817.86295,11101.38284,294278.7874,320806.0298,267311.2043,0,0,0,,,,23815.20576,29821.08137,17844.89341,,,,,,,,,,,,,,,,,,,,,
Dav,1,15,2022,692943038.6,732334892.5,653772621.4,2.752,2.996,2.488,360331.6229,385406.0519,335175.5926,257487.1266,274939.2376,240006.5067,,,,,,,6684.425373,8497.243339,5014.065959,197695.7459,211103.596,183427.4882,0,0,0,,,,20890.46165,24105.65252,17591.47183,,,,,,,,,,,,,,,,,,,,,
OSP,1,15,2022,557236277.7,588201636.2,526343814.4,2.122,2.268,1.976,509004.9724,527208.826,490778.6446,677211.8699,712936.9928,640060.2671,,,,,,,6519.275118,8433.916155,3958.409454,605155.2548,641572.4249,567998.5263,0,0,0,,,,18161.924,21699.15379,14055.99998,,,,,,,,,,,,,,,,,,,,,
Mod,1,15,2022,1719109164,1812766782,1619445596,1.181,1.253,1.109,650889.8604,734939.5039,580626.0136,668978.7,727169.314,619796.1701,,,,,,,37173.27029,53501.12471,20620.54542,470026.4673,535003.4774,413082.5916,0,0,0,,,,47311.7784,61117.27523,35760.64909,,,,,,,,,,,,,,,,,,,,,
UCD,1,16,2022,96994736.6,100458152.6,93879213.52,0.978,1.056,0.911,6259.182505,9218.968013,3292.262847,8047.559682,11048.49577,5646.668229,,,,,,,0,0,0,2682.481034,4592.431235,1366.527349,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
PA,1,16,2022,1600000000,1625396825,1583068783,0.576,0.612,0.543,388571.4286,407195.7672,374179.8942,386031.746,409735.4497,365714.2857,,,,,,,5257.142857,7009.52381,3826.455026,325925.9259,347089.9471,305608.4656,8634.920635,11174.60317,6188.359788,,,,6213.756614,8101.587302,4292.063492,,,,,,,,,,,,,,,,,,,,,
Mer,1,16,2022,1956993690,2006237897,1913934587,0.708,0.771,0.656,960319.0626,995240.4316,919034.1917,794097.7048,826543.7591,755839.7472,,,,,,,20938.96091,23956.87959,18175.29833,664501.614,695389.3808,629774.5664,0,0,0,,,,67529.64574,72468.05664,62591.54458,,,,,,,,,,,,,,,,,,,,,
Sac,1,16,2022,934603174.6,1041269841,853333333.3,2.215,2.483,1.96,840264.5051,872851.175,805440.7998,753998.8684,792731.5848,710696.3627,,,,,,,20266.66667,22755.55556,17930.15873,654854.2325,687387.86,617211.8172,0,0,0,,,,17625.39683,20114.28571,15492.06349,,,,,,,,,,,,,,,,,,,,,
SJ,1,16,2022,1328761905,1359238095,1304380952,0.483,0.516,0.453,566247.619,594285.7143,537600,547961.9048,577219.0476,516876.1905,,,,,,,29744.7619,33158.09524,26453.33333,346819.0476,390095.2381,302323.8095,0,0,0,,,,31207.61905,35352.38095,26148.57143,,,,,,,,,,,,,,,,,,,,,
Sun,1,16,2022,2320808081,2456565657,2210909091,2.805,3.06,2.563,793520.9024,825630.7583,761393.5991,696719.2679,742244.4045,654916.4743,,,,,,,13769.69697,16937.37374,10731.31313,517325.908,578254.3452,461023.4116,0,0,0,,,,14868.68687,17260.60606,12670.70707,,,,,,,,,,,,,,,,,,,,,
SVCW,1,16,2022,522577030.8,551260504.2,490308123.2,1.893,2.148,1.638,558079.8665,594437.3294,520861.7138,413170.0959,440610.5704,387793.2765,,,,,,,11204.48179,13983.19328,8569.187675,283914.9454,302495.919,265934.7491,0,0,0,,,,22946.77871,26442.57703,19630.2521,,,,,,,,,,,,,,,,,,,,,
Gil,1,16,2022,718393574.3,762088353.4,674698795.2,2.362,2.577,2.174,446594.2383,491299.4262,406149.6535,402264.1776,444418.8497,365443.065,,,,,,,14779.11647,19534.13655,10936.54618,232841.0934,274673.9828,195709.1519,0,0,0,,,,80706.82731,89188.75502,72867.46988,,,,,,,,,,,,,,,,,,,,,
Dav,1,16,2022,917647058.8,996078431.4,847058823.5,1.799,1.974,1.651,250502.2685,267060.8595,234033.1732,234797.0663,248302.3849,221310.0733,,,,,,,0,0,0,158157.1055,177470.4316,138603.8088,0,0,0,,,,19764.70588,23058.82353,16313.72549,,,,,,,,,,,,,,,,,,,,,
OSP,1,16,2022,804278074.9,867023172.9,747237076.6,2.013,2.187,1.839,377345.964,397175.4268,358537.3714,347093.3612,369673.513,325035.952,,,,,,,3274.153298,4494.83066,2298.752228,227546.3247,251635.5736,203947.4107,1454.545455,2498.395722,345.0980392,,,,31657.75401,35194.2959,28406.41711,,,,,,,,,,,,,,,,,,,,,
Mod,1,16,2022,2314094494,2464265997,2179725446,1.122,1.261,0.965,614108.349,690889.0496,544085.2211,703477.042,774058.46,629466.1748,,,,,,,14047.58067,22437.62924,5975.737458,506136.0677,558187.7209,446760.7771,0,0,0,,,,45655.64564,59532.02021,34122.8417,,,,,,,,,,,,,,,,,,,,,
PA,1,17,2022,1228604189,1259730042,1200191833,0.984,1.059,0.914,429609.1954,449471.2644,407540.2299,385471.2644,397977.0115,372965.5172,,,,,,,91954.02299,98574.71264,85333.33333,205241.3793,214804.5977,195678.1609,10151.72414,12652.87356,7429.885057,,,,8312.643678,10666.66667,6179.310345,,,,,,,,,,,,,,,,,,,,,
Mer,1,17,2022,1873223399,1986438889,1775505431,0.819,0.88,0.765,848508.8306,906237.2331,790598.5514,718743.5824,776096.0794,661265.465,,,,,,,31673.11564,35620.15175,27351.64181,528439.7202,579461.7655,478348.7,0,0,0,,,,48446.05789,54995.30852,41871.1114,,,,,,,,,,,,,,,,,,,,,
Sac,1,17,2022,932087227.4,952024922.1,917133956.4,0.692,0.728,0.656,822429.9065,842367.6012,797507.7882,633021.8069,652959.5016,608099.6885,,,,,,,23825.54517,26566.97819,21333.33333,518380.0623,543302.1807,490467.2897,0,0,0,,,,19538.94081,21981.30841,17196.26168,,,,,,,,,,,,,,,,,,,,,
SJ,1,17,2022,1319756015,1352443731,1286698890,1.033,1.11,0.95,653968.254,679365.0794,631746.0317,704761.9048,730158.7302,673015.873,,,,,,,73650.79365,78730.15873,67301.5873,499682.5397,516190.4762,479365.0794,0,0,0,,,,23555.55556,26666.66667,20634.92063,,,,,,,,,,,,,,,,,,,,,
Sun,1,17,2022,1451982379,1541262849,1381497797,0.642,0.688,0.602,615565.3451,662555.0661,573274.5962,400822.3201,462848.7518,343024.9633,,,,,,,7988.25257,9491.923642,6625.550661,249985.3157,292276.0646,210044.0529,0,0,0,,,,27911.89427,30637.29809,25139.50073,,,,,,,,,,,,,,,,,,,,,
SVCW,1,17,2022,778095238.1,804761904.8,754285714.3,0.675,0.711,0.639,390476.1905,426666.6667,331428.5714,369523.8095,391428.5714,346666.6667,,,,,,,3733.333333,5342.857143,2152.380952,299047.619,315238.0952,283809.5238,0,0,0,,,,18666.66667,22000,15714.28571,,,,,,,,,,,,,,,,,,,,,
Gil,1,17,2022,974666666.7,1028000000,925333333.3,0.613,0.656,0.567,346666.6667,377333.3333,318666.6667,258666.6667,285333.3333,233333.3333,,,,,,,22133.33333,26400,18133.33333,162666.6667,194666.6667,130800,0,0,0,,,,25866.66667,30533.33333,21733.33333,,,,,,,,,,,,,,,,,,,,,
Dav,1,17,2022,836036036,900900900.9,785585585.6,0.573,0.626,0.517,149909.9099,166486.4865,132612.6126,98018.01802,113873.8739,81441.44144,,,,,,,1989.189189,3127.927928,771.1711712,82162.16216,99459.45946,64216.21622,0,0,0,,,,38630.63063,43027.02703,34090.09009,,,,,,,,,,,,,,,,,,,,,
OSP,1,17,2022,724210526.3,752280701.8,701754386,0.589,0.635,0.549,324491.2281,345824.5614,279578.9474,317192.9825,329543.8596,299228.0702,,,,,,,3244.912281,4384.561404,2318.596491,233543.8596,247578.9474,216140.3509,0,0,0,,,,16561.40351,18975.4386,14091.22807,,,,,,,,,,,,,,,,,,,,,
Mod,1,17,2022,1774881214,1843839280,1715556279,1.217,1.29,1.144,699152.3612,758340.029,643041.6593,672100.9522,741581.9072,608129.334,,,,,,,21953.58509,32271.99495,11906.02082,390052.5723,432928.4311,345151.0201,0,0,0,,,,73181.17464,90764.02901,58032.07208,,,,,,,,,,,,,,,,,,,,,
UCD,1,18,2022,533447690.7,564758422.3,504502694,1.083,1.144,1.025,4470.085031,6807.981438,2741.043544,16092.80572,20186.85602,12594.29063,,,,,,,0,0,0,4470.085031,6807.981438,2499.621899,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
PA,1,18,2022,1306434809,1333589870,1276868338,1.931,2.052,1.803,319412.6455,334909.8383,298800.8899,431119.0169,446871.4692,414916.1051,,,,,,,5729.960379,7233.64418,4450.792028,354103.0884,367826.5357,339572.4334,7078.251634,8734.661482,5646.030108,,,,6404.102772,7986.003113,5046.386127,,,,,,,,,,,,,,,,,,,,,
Mer,1,18,2022,1973854238,2082739526,1878544958,0.793,0.883,0.704,503598.0001,533271.035,471676.0545,456366.4028,486693.274,424499.4838,,,,,,,17649.14928,20103.96112,15122.97082,356517.6939,379554.4132,332120.8465,0,0,0,,,,26779.78963,29723.76827,24037.12185,,,,,,,,,,,,,,,,,,,,,
Sac,1,18,2022,1067330490,1122915104,1013580655,0.915,0.975,0.855,699058.3804,735216.5725,668926.5537,711111.1111,753295.6685,680979.2844,,,,,,,19344.63277,22538.6064,15789.07721,602033.8983,632768.3616,571902.0716,0,0,0,,,,32241.05461,36700.56497,27721.2806,,,,,,,,,,,,,,,,,,,,,
SJ,1,18,2022,2037648550,2095207904,1984776035,1.745,1.844,1.646,442467.8073,459331.4802,423918.2319,495057.0302,511715.5485,480948.4595,,,,,,,6984.299208,8540.687626,5629.589111,396175.1199,407288.682,384894.8729,0,0,0,,,,23385.23026,26561.28524,19154.19203,,,,,,,,,,,,,,,,,,,,,
Sun,1,18,2022,1766362847,1817944336,1716247559,1.367,1.442,1.292,745679.0123,775308.642,720987.6543,686419.7531,720987.6543,656790.1235,,,,,,,6962.962963,8493.82716,5679.012346,491358.0247,518518.5185,463703.7037,0,0,0,,,,16740.74074,19012.34568,14716.04938,,,,,,,,,,,,,,,,,,,,,
SVCW,1,18,2022,857365611.9,970292104.7,758523120.3,1.422,1.634,1.218,422057.6132,461563.786,373333.3333,400987.6543,445761.3169,346337.4486,,,,,,,9679.012346,11720.16461,7835.390947,325925.9259,364115.2263,279835.3909,0,0,0,,,,9679.012346,12576.13169,6781.893004,,,,,,,,,,,,,,,,,,,,,
Gil,1,18,2022,681120778,708068539.5,657493699.2,1.511,1.618,1.417,271515.1515,287676.7677,255353.5354,211717.1717,226262.6263,197171.7172,,,,,,,8937.373737,12072.72727,6400,147717.1717,159676.7677,135595.9596,0,0,0,,,,70626.26263,79515.15152,61898.9899,,,,,,,,,,,,,,,,,,,,,
Dav,1,18,2022,848276068,870385493.3,829452826.1,1.135,1.229,1.042,368979.5918,384761.9048,353197.2789,352653.0612,371700.6803,332517.0068,,,,,,,1229.931973,1964.62585,707.4829932,318911.5646,330884.3537,306394.5578,2155.102041,3080.272109,1376.870748,,,,8598.639456,10340.13605,7074.829932,,,,,,,,,,,,,,,,,,,,,
OSP,1,18,2022,628825322.1,654946922.1,600526123.3,1.217,1.295,1.139,487111.1111,513185.1852,457481.4815,410666.6667,427851.8519,391703.7037,,,,,,,1635.555556,2494.814815,1001.481481,356740.7407,379851.8519,333629.6296,0,0,0,,,,18666.66667,21333.33333,16237.03704,,,,,,,,,,,,,,,,,,,,,
Mod,1,18,2022,2797311102,2842762667,2757871620,1.111,1.184,1.037,872545.8965,937583.8675,807512.4141,717366.3027,781619.5488,653912.9744,,,,,,,22406.7709,36618.54886,8708.099082,562212.7944,614414.4021,510014.0852,0,0,0,,,,71703.58125,91149.66086,55242.63663,,,,,,,,,,,,,,,,,,,,,
UCD,1,19,2022,555781393.1,577786377.8,533753380.5,1.361,1.469,1.258,25437.98384,29845.18184,20946.9603,24768.50272,29052.56495,20902.67384,,,,,,,0,0,0,21421.14779,25422.58532,17779.02017,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
PA,1,19,2022,1237957658,1271166329,1203894917,1.882,1.986,1.777,259692.8537,271100.4563,248316.9367,273334.701,292156.2666,253344.3498,,,,,,,3874.00168,5418.320644,2655.61092,236374.3535,251092.0395,220673.5117,6779.608903,8757.894424,5124.369963,,,,11138.18957,13620.25061,8686.129248,,,,,,,,,,,,,,,,,,,,,
Mer,1,19,2022,1417258719,1483980059,1358660473,0.609,0.662,0.554,718217.6003,738118.321,698773.4069,655260.7359,685946.9194,626772.8296,,,,,,,12938.56443,15200.04413,10572.36322,532685.5064,560287.0541,507958.0627,0,0,0,,,,50865.47894,55173.39619,46313.21031,,,,,,,,,,,,,,,,,,,,,
Sac,1,19,2022,1025526830,1035577870,1014904415,0.841,0.895,0.787,706338.4474,733468.5744,677818.1888,813168.4177,857991.5365,771624.2594,,,,,,,18169.78941,20470.96599,16047.97966,664434.1136,705206.2307,626511.8613,0,0,0,,,,20068.44394,22481.98982,17834.27705,,,,,,,,,,,,,,,,,,,,,
